"","Fecha","Casos.semana","Decesos.semana","diasemana.x","Hospitalizados.semana","diasemana.y","Casos","Decesos","Hospitalizados"
"62",2021-05-08,372,24,"sábado",37,"sábado",0.112,0.063,0.051
"63",2021-05-15,462,12,"sábado",38,"sábado",0.139,0.032,0.053
"64",2021-05-22,479,15,"sábado",46,"sábado",0.144,0.04,0.064
"65",2021-05-29,545,13,"sábado",68,"sábado",0.164,0.034,0.095
"66",2021-06-05,719,23,"sábado",61,"sábado",0.216,0.061,0.085
"67",2021-06-12,957,22,"sábado",78,"sábado",0.287,0.058,0.108
"68",2021-06-19,1174,28,"sábado",88,"sábado",0.352,0.074,0.122
"69",2021-06-26,1493,29,"sábado",124,"sábado",0.448,0.077,0.172
"70",2021-07-03,1418,44,"sábado",129,"sábado",0.425,0.116,0.179
"71",2021-07-10,1894,35,"sábado",140,"sábado",0.568,0.092,0.195
"72",2021-07-17,2299,46,"sábado",169,"sábado",0.69,0.121,0.235
"73",2021-07-24,2691,68,"sábado",207,"sábado",0.807,0.179,0.288
"74",2021-07-31,2913,105,"sábado",282,"sábado",0.874,0.277,0.392
"75",2021-08-07,2871,123,"sábado",297,"sábado",0.861,0.325,0.413
"76",2021-08-14,2857,135,"sábado",304,"sábado",0.857,0.356,0.423
"77",2021-08-21,2679,134,"sábado",287,"sábado",0.804,0.354,0.399
"78",2021-08-28,2179,159,"sábado",298,"sábado",0.654,0.42,0.414
"79",2021-09-04,1783,144,"sábado",227,"sábado",0.535,0.38,0.316
"80",2021-09-11,1592,111,"sábado",190,"sábado",0.478,0.293,0.264
"81",2021-09-18,1340,104,"sábado",157,"sábado",0.402,0.274,0.218
"82",2021-09-25,1101,109,"sábado",175,"sábado",0.33,0.288,0.243
"83",2021-10-02,912,89,"sábado",111,"sábado",0.274,0.235,0.154
"84",2021-10-09,909,53,"sábado",103,"sábado",0.273,0.14,0.143
"85",2021-10-16,808,52,"sábado",105,"sábado",0.242,0.137,0.146
"86",2021-10-23,862,59,"sábado",100,"sábado",0.259,0.156,0.139
"87",2021-10-30,770,46,"sábado",105,"sábado",0.231,0.121,0.146
