"","Fecha","Analizados","Pruebas","Confirmados_lab","Descartados_lab","Sospechosos","Confirmados","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Positividad.acum","diasemana","Analizados.semana","Casos.semana","Confirmados.semana","hospitalizados.semana","Decesos.semana","Pruebas.semana","Sospechosos.semana","Recuperados.semana","Positividad.semanal","ISSSTESON","pctj_menores","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia","inciact"
"46",2021-02-27,121706,99097,51600,47497,4995,67592,36219,31373,5986,2530,3456,56820,10772,23272,12600,468,61055,559,29,522,8,13692,3803,48073,0,4864,362,0,0,906,96,27,3,20,3,6,1,4,0,17,0,119,0,442,33,139,81,52.1,"sábado",2636,717,488,115,114,2406,1,784,20.3,84,2.4,"Hermosillo",246,"Hermosillo",26,471,88,2944840,38.7,24.3,19
"47",2021-03-06,124494,101713,52146,49567,4935,68378,36657,31721,6102,2582,3520,57518,10860,23505,12708,471,61726,558,30,520,8,13913,3866,48510,0,4987,364,0,0,910,96,27,3,20,3,7,1,4,0,25,0,163,0,434,43,164,73,51.3,"sábado",2788,786,546,88,116,2616,-60,671,20.9,123,3.2,"Hermosillo",311,"Hermosillo",38,475,78,2944840,39.4,26.7,18.9
"48",2021-03-13,127113,104184,52807,51377,4986,69125,37042,32083,6142,2599,3543,58175,10950,23703,12808,476,62222,770,46,715,9,14153,3891,48968,0,5029,365,0,0,914,96,29,4,21,3,7,1,4,0,20,0,203,1,387,9,137,30,50.7,"sábado",2619,747,661,90,40,2471,51,496,26.8,42,2.7,"Hermosillo",204,"Hermosillo",7,543,33,2944840,13.6,25.4,26.1
"49",2021-03-20,129325,105779,52998,52781,5574,69379,37187,32192,6180,2614,3566,58387,10992,23865,12868,469,62558,644,40,601,3,14006,3909,49299,0,5095,366,0,0,918,96,29,4,21,3,7,1,4,0,9,-1,79,-1,139,10,27,30,50.1,"sábado",2212,254,191,42,38,1595,588,336,12,66,3.5,"Hermosillo",-19,"Hermosillo",7,273,31,2944840,12.9,8.6,21.9
"50",2021-03-27,132167,108574,53660,54914,5503,70162,37613,32549,6222,2635,3587,58704,11458,24439,13340,471,63271,675,41,628,6,14274,3944,49653,0,5252,367,0,0,921,96,30,4,21,3,7,1,4,0,14,1,171,0,453,16,145,25,49.4,"sábado",2842,783,662,466,42,2795,-71,713,23.7,157,1.8,"Hermosillo",318,"Hermosillo",19,465,23,2944840,14.3,26.6,22.9
"51",2021-04-03,133968,110384,54090,56294,5418,70670,37895,32775,6297,2666,3631,59116,11554,24661,13444,477,63916,465,46,411,8,14505,3985,49862,0,5314,370,0,0,927,116,30,4,21,3,7,1,4,0,17,0,107,0,279,25,105,50,49,"sábado",1801,508,430,96,75,1810,-85,645,23.8,62,3.3,"Hermosillo",223,"Hermosillo",30,285,45,2944840,25.5,17.3,15.8
"52",2021-04-10,136734,113031,54745,58286,5460,71396,38276,33120,6372,2696,3676,59726,11670,24923,13578,485,64488,546,55,481,10,14776,4050,50270,0,5357,370,0,0,931,116,30,4,21,3,7,1,4,0,6,0,149,0,423,22,148,53,48.4,"sábado",2766,726,655,116,75,2647,42,572,24.7,43,0.8,"Hermosillo",252,"Hermosillo",18,474,57,2944840,25.5,24.7,18.5
"53",2021-04-17,139395,115551,55388,60163,5457,72183,38706,33477,6439,2729,3710,60403,11780,25174,13694,489,65133,618,47,564,7,15013,4103,50651,0,5520,370,0,0,937,117,30,4,21,3,7,1,4,0,22,0,189,0,440,21,136,46,47.9,"sábado",2661,787,643,110,67,2520,-3,645,25.5,163,2.8,"Hermosillo",321,"Hermosillo",11,466,56,2944840,22.8,26.7,21
"54",2021-04-24,142059,117997,55914,62083,5465,72920,39111,33809,6479,2753,3726,61064,11856,25362,13777,491,65822,624,50,569,5,15182,4129,51033,0,5700,373,0,0,943,117,30,4,21,3,7,1,4,0,20,0,160,0,422,9,135,31,47.4,"sábado",2664,737,526,76,40,2446,8,689,21.5,180,2.7,"Hermosillo",329,"Hermosillo",14,408,26,2944840,13.6,25,21.2
"55",2021-05-01,144307,120128,56318,63810,5471,73434,39395,34039,6522,2767,3755,61508,11926,25542,13858,496,66326,590,41,545,4,15329,4163,51314,0,5780,373,0,0,948,118,30,4,21,3,7,1,5,0,18,0,114,0,292,13,90,30,46.9,"sábado",2248,514,404,70,43,2131,6,504,19,80,3.5,"Hermosillo",239,"Hermosillo",18,275,25,2944840,14.6,17.5,20
"56",2021-05-08,146251,122044,56633,65411,5384,73866,39643,34223,6560,2781,3779,61900,11966,25660,13902,496,66824,484,24,458,2,15474,4189,51519,0,5861,373,0,0,949,124,30,4,21,3,7,1,5,0,10,0,104,0,258,14,60,24,46.4,"sábado",1944,432,315,40,38,1916,-87,498,16.4,81,2.3,"Hermosillo",193,"Hermosillo",14,239,24,2944840,12.9,14.7,16.4
"57",2021-05-15,148003,123751,56959,66792,5354,74269,39865,34404,6568,2781,3787,62264,12005,25758,13952,499,67280,421,25,396,0,15619,4190,51736,0,5900,373,0,0,951,124,30,4,21,3,7,1,5,0,12,1,90,0,264,3,37,4,46,"sábado",1752,403,326,39,8,1707,-30,456,19.1,39,3,"Hermosillo",179,"Hermosillo",4,224,4,2944840,2.7,13.7,14.3
"58",2021-05-22,149983,125461,57334,68127,5574,74685,40066,34619,6589,2790,3799,62607,12078,25900,14033,503,67639,462,31,426,5,15760,4204,51987,0,5921,373,0,0,954,124,30,4,21,3,7,1,5,0,17,0,101,0,245,6,53,15,45.7,"sábado",1980,416,375,73,21,1710,220,359,21.9,21,4.1,"Hermosillo",170,"Hermosillo",5,246,16,2944840,7.1,14.1,15.7
"59",2021-05-29,151862,127477,57787,69690,5390,75181,40335,34846,6627,2802,3825,62461,12720,26648,14666,503,68068,489,42,444,3,15936,4227,52273,0,5950,373,0,0,959,126,30,4,21,3,7,1,5,0,19,1,106,0,291,10,80,27,45.3,"sábado",1879,496,453,642,38,2016,-184,429,22.5,29,3.8,"Hermosillo",177,"Hermosillo",5,319,33,2944840,12.9,16.8,16.6
"60",2021-06-05,153988,129455,58359,71096,5489,75805,40670,35135,6673,2822,3851,63005,12800,26834,14759,507,68512,621,48,572,1,16201,4252,52601,0,5978,375,0,0,961,127,30,4,22,3,7,1,5,0,16,0,170,1,384,22,54,23,45.1,"sábado",2126,624,572,80,46,1978,99,444,28.9,28,2.6,"Hermosillo",179,"Hermosillo",11,445,35,2944840,15.6,21.2,21.1
"61",2021-06-12,156359,131594,59075,72519,5642,76596,41125,35471,6707,2836,3871,63704,12892,27026,14864,513,69051,843,53,785,5,16548,4277,52974,0,6042,375,0,0,966,128,32,5,22,3,7,1,5,0,25,0,233,-1,472,11,61,24,44.9,"sábado",2371,791,716,92,34,2139,153,539,33.5,64,3.2,"Hermosillo",304,"Hermosillo",12,487,22,2944840,11.5,26.9,28.6
