"Estado","% Ocupación","Fecha","Tipo","Pob_Total"
"Sonora",50.62,2020-06-16,"Ventilador",2109152
"Sonora",61.66,2020-06-16,"UCI",2109152
"Sonora",70.23,2020-06-17,"UCI",2109152
"Sonora",45.98,2020-06-17,"Ventilador",2109152
"Sonora",57.42,2020-06-17,"General",2109152
"Sonora",49.62,2020-06-18,"Ventilador",2109152
"Sonora",64.51,2020-06-18,"UCI",2109152
"Sonora",56.06,2020-06-18,"General",2109152
"Sonora",52.47,2020-06-19,"Ventilador",2109152
"Sonora",57.57,2020-06-19,"General",2109152
"Sonora",56.25,2020-06-19,"UCI",2109152
"Sonora",56.28,2020-06-20,"General",2109152
"Sonora",65,2020-06-20,"UCI",2109152
"Sonora",54.78,2020-06-20,"Ventilador",2109152
"Sonora",63.33,2020-06-21,"UCI",2109152
"Sonora",58.53,2020-06-21,"General",2109152
"Sonora",57.07,2020-06-21,"Ventilador",2109152
"Sonora",61.9,2020-06-22,"UCI",2109152
"Sonora",58.78,2020-06-22,"General",2109152
"Sonora",53.05,2020-06-22,"Ventilador",2109152
"Sonora",52.96,2020-06-23,"Ventilador",2109152
"Sonora",59.51,2020-06-23,"General",2109152
"Sonora",63.63,2020-06-23,"UCI",2109152
"Sonora",49.45,2020-06-24,"Ventilador",2109152
"Sonora",58.65,2020-06-24,"General",2109152
"Sonora",62.29,2020-06-24,"UCI",2109152
"Sonora",59.27,2020-06-25,"General",2109152
"Sonora",47.74,2020-06-25,"Ventilador",2109152
"Sonora",56.25,2020-06-25,"UCI",2109152
"Sonora",59.34,2020-06-26,"General",2109152
"Sonora",51.37,2020-06-26,"Ventilador",2109152
"Sonora",62.9,2020-06-26,"UCI",2109152
"Sonora",56.1,2020-06-27,"Ventilador",2109152
"Sonora",60.69,2020-06-27,"General",2109152
"Sonora",71.66,2020-06-27,"UCI",2109152
"Sonora",63.9,2020-06-28,"General",2109152
"Sonora",69.69,2020-06-28,"UCI",2109152
"Sonora",53.57,2020-06-28,"Ventilador",2109152
"Sonora",61.89,2020-06-29,"General",2109152
"Sonora",50.19,2020-06-29,"Ventilador",2109152
"Sonora",68.11,2020-06-29,"UCI",2109152
"Sonora",54.77,2020-06-30,"Ventilador",2109152
"Sonora",70.58,2020-06-30,"UCI",2109152
"Sonora",55.95,2020-06-30,"General",2109152
"Sonora",69.56,2020-07-01,"UCI",2109152
"Sonora",61.15,2020-07-01,"General",2109152
"Sonora",58.54,2020-07-01,"Ventilador",2109152
"Sonora",60.6,2020-07-02,"Ventilador",2109152
"Sonora",58.95,2020-07-02,"General",2109152
"Sonora",70,2020-07-02,"UCI",2109152
"Sonora",56.97,2020-07-03,"Ventilador",2109152
"Sonora",82.6,2020-07-03,"UCI",2109152
"Sonora",57.08,2020-07-03,"General",2109152
"Sonora",60.15,2020-07-04,"General",2109152
"Sonora",61.97,2020-07-04,"UCI",2109152
"Sonora",50.63,2020-07-04,"Ventilador",2109152
"Sonora",64.28,2020-07-05,"UCI",2109152
"Sonora",62.77,2020-07-05,"General",2109152
"Sonora",53.25,2020-07-05,"Ventilador",2109152
"Sonora",60.65,2020-07-06,"General",2109152
"Sonora",69.66,2020-07-06,"UCI",2109152
"Sonora",48.3,2020-07-06,"Ventilador",2109152
"Sonora",57.53,2020-07-07,"UCI",2109152
"Sonora",44.23,2020-07-07,"Ventilador",2109152
"Sonora",61.31,2020-07-07,"General",2109152
"Sonora",67.56,2020-07-08,"UCI",2109152
"Sonora",60.38,2020-07-08,"General",2109152
"Sonora",50.37,2020-07-08,"Ventilador",2109152
"Sonora",60.54,2020-07-09,"General",2109152
"Sonora",54.5,2020-07-09,"Ventilador",2109152
"Sonora",70.76,2020-07-09,"UCI",2109152
"Sonora",48.81,2020-07-10,"Ventilador",2109152
"Sonora",63.51,2020-07-10,"UCI",2109152
"Sonora",60.27,2020-07-10,"General",2109152
"Sonora",57.9,2020-07-11,"General",2109152
"Sonora",62.5,2020-07-11,"UCI",2109152
"Sonora",46.48,2020-07-11,"Ventilador",2109152
"Sonora",57.24,2020-07-12,"General",2109152
"Sonora",48.03,2020-07-12,"Ventilador",2109152
"Sonora",63.26,2020-07-12,"UCI",2109152
"Sonora",46.64,2020-07-13,"Ventilador",2109152
"Sonora",58.33,2020-07-13,"UCI",2109152
"Sonora",58.48,2020-07-13,"General",2109152
"Sonora",59.72,2020-07-14,"UCI",2109152
"Sonora",57.73,2020-07-14,"General",2109152
"Sonora",45.97,2020-07-14,"Ventilador",2109152
"Sonora",41.86,2020-07-15,"Ventilador",2109152
"Sonora",58.1,2020-07-15,"General",2109152
"Sonora",51.72,2020-07-15,"UCI",2109152
"Sonora",46.61,2020-07-16,"Ventilador",2109152
"Sonora",56.33,2020-07-16,"UCI",2109152
"Sonora",55.67,2020-07-16,"General",2109152
"Sonora",42.74,2020-07-17,"Ventilador",2109152
"Sonora",53.75,2020-07-17,"UCI",2109152
"Sonora",55.6,2020-07-17,"General",2109152
"Sonora",71.08,2020-07-18,"UCI",2109152
"Sonora",56.25,2020-07-18,"General",2109152
"Sonora",45.55,2020-07-18,"Ventilador",2109152
"Sonora",39.03,2020-07-19,"Ventilador",2109152
"Sonora",46.26,2020-07-19,"UCI",2109152
"Sonora",58.62,2020-07-19,"General",2109152
"Sonora",44.61,2020-07-20,"UCI",2109152
"Sonora",58.44,2020-07-20,"General",2109152
"Sonora",36.01,2020-07-20,"Ventilador",2109152
"Sonora",51.78,2020-07-21,"UCI",2109152
"Sonora",40.14,2020-07-21,"Ventilador",2109152
"Sonora",56.99,2020-07-21,"General",2109152
"Sonora",41.09,2020-07-22,"Ventilador",2109152
"Sonora",56.44,2020-07-22,"General",2109152
"Sonora",58.97,2020-07-22,"UCI",2109152
"Sonora",41.35,2020-07-23,"Ventilador",2109152
"Sonora",57.45,2020-07-23,"General",2109152
"Sonora",52.32,2020-07-23,"UCI",2109152
"Sonora",36.59,2020-07-24,"Ventilador",2109152
"Sonora",50,2020-07-24,"UCI",2109152
"Sonora",54.09,2020-07-24,"General",2109152
"Sonora",56.98,2020-07-25,"General",2109152
"Sonora",38.42,2020-07-25,"Ventilador",2109152
"Sonora",44.64,2020-07-25,"UCI",2109152
"Sonora",34.38,2020-07-26,"Ventilador",2109152
"Sonora",46.66,2020-07-26,"UCI",2109152
"Sonora",55.54,2020-07-26,"General",2109152
"Sonora",30.84,2020-07-27,"Ventilador",2109152
"Sonora",54.2,2020-07-27,"UCI",2109152
"Sonora",52.33,2020-07-27,"General",2109152
"Sonora",45.9,2020-07-28,"UCI",2109152
"Sonora",54.38,2020-07-28,"General",2109152
"Sonora",32.16,2020-07-28,"Ventilador",2109152
"Sonora",55.56,2020-07-29,"General",2109152
"Sonora",26.56,2020-07-29,"Ventilador",2109152
"Sonora",41.02,2020-07-29,"UCI",2109152
"Sonora",50.61,2020-07-30,"General",2109152
"Sonora",46.37,2020-07-30,"UCI",2109152
"Sonora",26.92,2020-07-30,"Ventilador",2109152
"Sonora",48.31,2020-07-31,"UCI",2109152
"Sonora",29.6,2020-07-31,"Ventilador",2109152
"Sonora",48.71,2020-07-31,"General",2109152
"Sonora",45.45,2020-08-01,"UCI",2109152
"Sonora",44.15,2020-08-01,"General",2109152
"Sonora",30.97,2020-08-01,"Ventilador",2109152
"Sonora",43,2020-08-02,"General",2109152
"Sonora",32.75,2020-08-02,"Ventilador",2109152
"Sonora",47.19,2020-08-02,"UCI",2109152
"Sonora",27.92,2020-08-03,"Ventilador",2109152
"Sonora",46.59,2020-08-03,"UCI",2109152
"Sonora",41.86,2020-08-03,"General",2109152
"Sonora",41.16,2020-08-04,"General",2109152
"Sonora",38.14,2020-08-04,"UCI",2109152
"Sonora",26.78,2020-08-04,"Ventilador",2109152
"Sonora",40.41,2020-08-05,"General",2109152
"Sonora",28.94,2020-08-05,"UCI",2109152
"Sonora",28.11,2020-08-05,"Ventilador",2109152
"Sonora",36.48,2020-08-06,"UCI",2109152
"Sonora",25.32,2020-08-06,"Ventilador",2109152
"Sonora",39.14,2020-08-06,"General",2109152
"Sonora",38.1,2020-08-07,"General",2109152
"Sonora",22.41,2020-08-07,"Ventilador",2109152
"Sonora",25.64,2020-08-07,"UCI",2109152
"Sonora",24.11,2020-08-08,"Ventilador",2109152
"Sonora",33.33,2020-08-08,"UCI",2109152
"Sonora",35.26,2020-08-08,"General",2109152
"Sonora",35.7,2020-08-09,"General",2109152
"Sonora",23.37,2020-08-09,"UCI",2109152
"Sonora",21.29,2020-08-09,"Ventilador",2109152
"Sonora",34.73,2020-08-10,"General",2109152
