"","Fecha","CVEGEO","MUNICIPIO","CASOS_SINTOMAS"
"376",2020-01-06,26029,"Guaymas",0
"377",2020-01-06,26999,"Sin municipio registrado",0
"378",2020-01-06,26025,"Empalme",0
"379",2020-01-06,26033,"Huatabampo",0
"380",2020-01-06,26047,"Pitiquito",0
"381",2020-01-06,26017,"Caborca",0
"382",2020-01-06,26004,"Altar",0
"383",2020-01-06,26012,"Bácum",0
"384",2020-01-06,26072,"San Ignacio Río Muerto",0
"385",2020-01-06,26071,"Benito Juárez",0
"386",2020-01-06,26052,"Sahuaripa",0
"387",2020-01-06,26003,"Álamos",0
"388",2020-01-06,26037,"Mazatán",0
"389",2020-01-06,26049,"Quiriego",0
"390",2020-01-06,26066,"Ures",0
"391",2020-01-06,26027,"Fronteras",0
"392",2020-01-06,26007,"Átil",0
"393",2020-01-06,26019,"Cananea",0
"394",2020-01-06,26034,"Huépac",0
"395",2020-01-06,26041,"Nacozari de García",0
"396",2020-01-06,26014,"Baviácora",0
"397",2020-01-06,26026,"Etchojoa",0
"398",2020-01-06,26064,"Trincheras",0
"399",2020-01-06,26060,"Sáric",0
"400",2020-01-06,26067,"Villa Hidalgo",0
"401",2020-01-06,26045,"Opodepe",0
"402",2020-01-06,26008,"Bacadéhuachi",0
"403",2020-01-06,26070,"General Plutarco Elías Calles",0
"404",2020-01-06,26013,"Banámichi",0
"405",2020-01-06,26068,"Villa Pesqueira",0
"406",2020-01-06,26001,"Aconchi",0
"407",2020-01-06,26039,"Naco",0
"408",2020-01-06,26044,"Ónavas",0
"409",2020-01-06,26035,"Imuris",0
"410",2020-01-06,26020,"Carbó",0
"411",2020-01-06,26038,"Moctezuma",0
"412",2020-01-06,26065,"Tubutama",0
"413",2020-01-06,26016,"Benjamín Hill",0
"414",2020-01-06,26023,"Cumpas",0
"415",2020-01-06,26015,"Bavispe",0
"416",2020-01-06,26032,"Huásabas",0
"417",2020-01-06,26046,"Oquitoa",0
"418",2020-01-06,26005,"Arivechi",0
"419",2020-01-06,26051,"Rosario",0
"420",2020-01-06,26006,"Arizpe",0
"421",2020-01-06,26056,"San Miguel de Horcasitas",0
"422",2020-01-06,26022,"Cucurpe",0
"423",2020-01-06,26010,"Bacerac",0
"424",2020-01-06,26040,"Nácori Chico",0
"425",2020-01-06,26021,"La Colorada",0
"426",2020-01-06,26031,"Huachinera",0
"427",2020-01-06,26024,"Divisaderos",0
"428",2020-01-06,26028,"Granados",0
"429",2020-01-06,26069,"Yécora",0
"430",2020-01-06,26063,"Tepache",0
