"","fecha_ingreso","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"94",2020-05-17,8,8,8,0,0,8,6,2,3,2,1,0,8,14,8,0,4,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1
"95",2020-05-18,21,20,11,9,1,11,4,7,3,2,1,8,3,6,4,1,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,2,0
"96",2020-05-19,24,24,21,3,0,21,10,11,2,2,0,18,3,8,5,2,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,12,1,3,1
"97",2020-05-20,27,27,16,11,0,16,4,12,2,0,2,11,5,12,7,1,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,1,4,1
"98",2020-05-21,22,21,17,4,0,17,6,11,2,0,2,14,3,5,4,0,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,1,2,1
"99",2020-05-22,9,9,7,2,0,7,5,2,1,1,0,5,2,6,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0
"100",2020-05-23,19,16,15,1,2,15,5,10,4,1,3,8,7,15,7,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,1,1
"101",2020-05-24,6,6,5,1,0,5,3,2,2,0,2,2,3,8,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2
"102",2020-05-25,31,30,27,3,1,27,12,15,2,1,1,24,3,9,4,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,21,2,3,0
"103",2020-05-26,38,36,29,7,0,29,14,15,3,0,3,26,3,7,5,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,1,6,2
"104",2020-05-27,27,27,20,7,0,20,11,9,3,1,2,17,3,5,3,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,5,3
"105",2020-05-28,18,16,15,1,2,15,12,3,2,1,1,12,3,4,4,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,4,1
"106",2020-05-29,14,9,8,1,5,8,3,5,1,0,1,7,1,2,2,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0
"107",2020-05-30,19,18,12,6,1,12,3,9,2,0,2,9,3,5,5,1,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,2
"108",2020-05-31,6,5,3,2,1,3,2,1,0,0,0,2,1,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"109",2020-06-01,30,28,17,11,2,17,9,8,6,2,4,11,6,13,7,1,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8,6
"110",2020-06-02,17,15,10,5,1,11,5,6,3,1,2,5,6,9,6,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3
"111",2020-06-03,27,26,22,4,1,22,12,10,2,2,0,19,3,6,5,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,6,2
"112",2020-06-04,25,22,16,6,2,16,6,10,2,1,1,12,4,8,6,1,5,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0
"113",2020-06-05,42,41,35,6,0,35,21,14,2,1,1,31,4,7,6,2,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,24,1,5,1
"114",2020-06-06,23,23,23,0,0,23,18,5,2,2,0,20,3,7,3,0,4,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,1,6,1
"115",2020-06-07,6,6,2,4,0,2,0,2,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
