"","Fecha","CVEGEO","MUNICIPIO","CASOS_ACTIVOS"
"387",2020-04-17,26052,"Sahuaripa",0
"388",2020-04-17,26055,"San Luis Río Colorado",22
"389",2020-04-17,26058,"Santa Ana",0
"390",2020-04-17,26060,"Sáric",2
"391",2020-04-17,26066,"Ures",0
"392",2020-04-17,26067,"Villa Hidalgo",0
"393",2020-04-17,26999,"Sin municipio registrado",0
"394",2020-04-17,26070,"General Plutarco Elías Calles",0
"395",2020-04-17,26013,"Banámichi",0
"396",2020-04-17,26003,"Álamos",0
"397",2020-04-17,26004,"Altar",0
"398",2020-04-17,26039,"Naco",0
"399",2020-04-17,26001,"Aconchi",0
"400",2020-04-17,26035,"Imuris",0
"401",2020-04-17,26044,"Ónavas",0
"402",2020-04-17,26020,"Carbó",0
"403",2020-04-17,26038,"Moctezuma",0
"404",2020-04-17,26068,"Villa Pesqueira",0
"405",2020-04-17,26071,"Benito Juárez",0
"406",2020-04-17,26016,"Benjamín Hill",0
"407",2020-04-17,26065,"Tubutama",0
"408",2020-04-17,26023,"Cumpas",0
"409",2020-04-17,26032,"Huásabas",0
"410",2020-04-17,26015,"Bavispe",0
"411",2020-04-17,26064,"Trincheras",0
"412",2020-04-17,26072,"San Ignacio Río Muerto",0
"413",2020-04-17,26005,"Arivechi",0
"414",2020-04-17,26037,"Mazatán",0
"415",2020-04-17,26046,"Oquitoa",0
"416",2020-04-17,26051,"Rosario",0
"417",2020-04-17,26006,"Arizpe",0
"418",2020-04-17,26011,"Bacoachi",0
"419",2020-04-17,26022,"Cucurpe",0
"420",2020-04-17,26056,"San Miguel de Horcasitas",0
"421",2020-04-17,26040,"Nácori Chico",0
"422",2020-04-17,26049,"Quiriego",0
"423",2020-04-17,26010,"Bacerac",0
"424",2020-04-17,26031,"Huachinera",0
"425",2020-04-17,26021,"La Colorada",0
"426",2020-04-17,26028,"Granados",0
"427",2020-04-17,26063,"Tepache",0
"428",2020-04-17,26024,"Divisaderos",0
"429",2020-04-17,26050,"Rayón",0
"430",2020-04-17,26053,"San Felipe de Jesús",0
"431",2020-04-17,26059,"Santa Cruz",0
"432",2020-04-17,26069,"Yécora",0
"433",2020-04-17,26009,"Bacanora",0
"434",2020-04-17,26062,"Suaqui Grande",0
"435",2020-04-17,26054,"San Javier",0
"436",2020-04-17,26061,"Soyopa",0
"437",2020-04-17,26007,"Átil",0
"438",2020-04-17,26057,"San Pedro de la Cueva",0
"439",2020-04-18,26002,"Agua Prieta",0
"440",2020-04-18,26008,"Bacadéhuachi",0
"441",2020-04-18,26012,"Bácum",0
"442",2020-04-18,26014,"Baviácora",0
"443",2020-04-18,26017,"Caborca",3
"444",2020-04-18,26018,"Cajeme",2
"445",2020-04-18,26019,"Cananea",0
"446",2020-04-18,26025,"Empalme",0
"447",2020-04-18,26026,"Etchojoa",0
"448",2020-04-18,26027,"Fronteras",0
"449",2020-04-18,26029,"Guaymas",0
"450",2020-04-18,26030,"Hermosillo",8
"451",2020-04-18,26033,"Huatabampo",5
"452",2020-04-18,26034,"Huépac",0
"453",2020-04-18,26036,"Magdalena",1
"454",2020-04-18,26041,"Nacozari de García",0
"455",2020-04-18,26042,"Navojoa",0
"456",2020-04-18,26043,"Nogales",3
"457",2020-04-18,26045,"Opodepe",0
"458",2020-04-18,26047,"Pitiquito",0
"459",2020-04-18,26048,"Puerto Peñasco",0
"460",2020-04-18,26052,"Sahuaripa",0
"461",2020-04-18,26055,"San Luis Río Colorado",22
"462",2020-04-18,26058,"Santa Ana",0
"463",2020-04-18,26060,"Sáric",1
"464",2020-04-18,26066,"Ures",0
"465",2020-04-18,26067,"Villa Hidalgo",0
"466",2020-04-18,26999,"Sin municipio registrado",0
"467",2020-04-18,26070,"General Plutarco Elías Calles",0
"468",2020-04-18,26013,"Banámichi",0
"469",2020-04-18,26003,"Álamos",0
"470",2020-04-18,26004,"Altar",0
"471",2020-04-18,26039,"Naco",0
"472",2020-04-18,26001,"Aconchi",0
"473",2020-04-18,26035,"Imuris",0
"474",2020-04-18,26044,"Ónavas",0
"475",2020-04-18,26020,"Carbó",0
"476",2020-04-18,26038,"Moctezuma",0
"477",2020-04-18,26068,"Villa Pesqueira",0
"478",2020-04-18,26071,"Benito Juárez",0
"479",2020-04-18,26016,"Benjamín Hill",0
"480",2020-04-18,26065,"Tubutama",0
"481",2020-04-18,26023,"Cumpas",0
"482",2020-04-18,26032,"Huásabas",0
"483",2020-04-18,26015,"Bavispe",0
"484",2020-04-18,26064,"Trincheras",0
"485",2020-04-18,26072,"San Ignacio Río Muerto",0
"486",2020-04-18,26005,"Arivechi",0
"487",2020-04-18,26037,"Mazatán",0
"488",2020-04-18,26046,"Oquitoa",0
"489",2020-04-18,26051,"Rosario",0
"490",2020-04-18,26006,"Arizpe",0
"491",2020-04-18,26011,"Bacoachi",0
"492",2020-04-18,26022,"Cucurpe",0
"493",2020-04-18,26056,"San Miguel de Horcasitas",0
"494",2020-04-18,26040,"Nácori Chico",0
"495",2020-04-18,26049,"Quiriego",0
"496",2020-04-18,26010,"Bacerac",0
"497",2020-04-18,26031,"Huachinera",0
"498",2020-04-18,26021,"La Colorada",0
"499",2020-04-18,26028,"Granados",0
"500",2020-04-18,26063,"Tepache",0
"501",2020-04-18,26024,"Divisaderos",0
"502",2020-04-18,26050,"Rayón",0
"503",2020-04-18,26053,"San Felipe de Jesús",0
"504",2020-04-18,26059,"Santa Cruz",0
"505",2020-04-18,26069,"Yécora",0
"506",2020-04-18,26009,"Bacanora",0
"507",2020-04-18,26062,"Suaqui Grande",0
"508",2020-04-18,26054,"San Javier",0
"509",2020-04-18,26061,"Soyopa",0
"510",2020-04-18,26007,"Átil",0
"511",2020-04-18,26057,"San Pedro de la Cueva",0
"512",2020-04-19,26002,"Agua Prieta",0
"513",2020-04-19,26008,"Bacadéhuachi",0
"514",2020-04-19,26012,"Bácum",0
"515",2020-04-19,26014,"Baviácora",0
"516",2020-04-19,26017,"Caborca",5
"517",2020-04-19,26018,"Cajeme",3
"518",2020-04-19,26019,"Cananea",0
"519",2020-04-19,26025,"Empalme",0
