"","fecha_sintomas","casos24","casos17","diferencia"
"354",2021-03-01,141,141,0
"355",2021-03-02,93,93,0
"356",2021-03-03,103,103,0
"357",2021-03-04,83,83,0
"358",2021-03-05,113,113,0
"359",2021-03-06,90,90,0
"360",2021-03-07,91,91,0
"361",2021-03-08,117,117,0
"362",2021-03-09,115,115,0
"363",2021-03-10,88,88,0
"364",2021-03-11,84,84,0
"365",2021-03-12,78,78,0
"366",2021-03-13,81,81,0
"367",2021-03-14,89,89,0
"368",2021-03-15,91,91,0
"369",2021-03-16,96,96,0
"370",2021-03-17,78,78,0
"371",2021-03-18,100,100,0
"372",2021-03-19,106,106,0
"373",2021-03-20,134,134,0
"374",2021-03-21,83,83,0
"375",2021-03-22,81,81,0
"376",2021-03-23,87,87,0
"377",2021-03-24,87,87,0
"378",2021-03-25,94,94,0
"379",2021-03-26,89,89,0
"380",2021-03-27,71,71,0
"381",2021-03-28,98,98,0
"382",2021-03-29,73,73,0
"383",2021-03-30,74,74,0
"384",2021-03-31,65,65,0
"385",2021-04-01,104,104,0
"386",2021-04-02,87,87,0
"387",2021-04-03,100,100,0
"388",2021-04-04,102,102,0
"389",2021-04-05,122,122,0
"390",2021-04-06,101,101,0
"391",2021-04-07,83,83,0
"392",2021-04-08,90,90,0
"393",2021-04-09,95,95,0
"394",2021-04-10,100,100,0
"395",2021-04-11,104,104,0
"396",2021-04-12,102,102,0
"397",2021-04-13,53,53,0
"398",2021-04-14,56,56,0
"399",2021-04-15,73,73,0
"400",2021-04-16,68,68,0
"401",2021-04-17,67,67,0
"402",2021-04-18,90,90,0
"403",2021-04-19,100,100,0
"404",2021-04-20,103,103,0
"405",2021-04-21,59,59,0
"406",2021-04-22,56,56,0
"407",2021-04-23,61,61,0
"408",2021-04-24,57,57,0
"409",2021-04-25,93,93,0
"410",2021-04-26,67,67,0
"411",2021-04-27,50,50,0
"412",2021-04-28,53,53,0
"413",2021-04-29,61,61,0
"414",2021-04-30,71,71,0
"415",2021-05-01,84,84,0
"416",2021-05-02,55,55,0
"417",2021-05-03,71,71,0
"418",2021-05-04,43,43,0
"419",2021-05-05,50,50,0
"420",2021-05-06,51,51,0
"421",2021-05-07,63,63,0
"422",2021-05-08,49,49,0
"423",2021-05-09,54,54,0
"424",2021-05-10,83,83,0
"425",2021-05-11,71,71,0
"426",2021-05-12,71,71,0
"427",2021-05-13,64,64,0
"428",2021-05-14,67,67,0
"429",2021-05-15,66,66,0
"430",2021-05-16,61,61,0
"431",2021-05-17,64,64,0
"432",2021-05-18,63,63,0
"433",2021-05-19,59,59,0
"434",2021-05-20,104,104,0
"435",2021-05-21,71,71,0
"436",2021-05-22,68,68,0
"437",2021-05-23,72,72,0
"438",2021-05-24,95,95,0
"439",2021-05-25,81,81,0
"440",2021-05-26,63,63,0
"441",2021-05-27,71,71,0
"442",2021-05-28,95,95,0
"443",2021-05-29,77,77,0
"444",2021-05-30,70,70,0
"445",2021-05-31,72,72,0
"446",2021-06-01,163,163,0
"447",2021-06-02,80,80,0
"448",2021-06-03,118,118,0
"449",2021-06-04,111,111,0
"450",2021-06-05,137,137,0
"451",2021-06-06,148,148,0
"452",2021-06-07,122,122,0
"453",2021-06-08,135,135,0
"454",2021-06-09,145,145,0
"455",2021-06-10,174,174,0
"456",2021-06-11,134,134,0
"457",2021-06-12,149,149,0
"458",2021-06-13,167,167,0
"459",2021-06-14,189,189,0
"460",2021-06-15,181,181,0
"461",2021-06-16,130,130,0
"462",2021-06-17,143,143,0
"463",2021-06-18,209,209,0
"464",2021-06-19,201,201,0
"465",2021-06-20,267,267,0
"466",2021-06-21,196,196,0
"467",2021-06-22,200,200,0
"468",2021-06-23,163,163,0
"469",2021-06-24,224,224,0
"470",2021-06-25,246,246,0
"471",2021-06-26,240,240,0
"472",2021-06-27,191,191,0
"473",2021-06-28,225,225,0
"474",2021-06-29,158,158,0
"475",2021-06-30,192,192,0
"476",2021-07-01,239,239,0
"477",2021-07-02,210,210,0
"478",2021-07-03,249,249,0
"479",2021-07-04,209,209,0
"480",2021-07-05,331,331,0
"481",2021-07-06,254,254,0
"482",2021-07-07,243,243,0
"483",2021-07-08,211,211,0
"484",2021-07-09,333,333,0
"485",2021-07-10,367,367,0
"486",2021-07-11,301,301,0
"487",2021-07-12,391,391,0
"488",2021-07-13,262,262,0
"489",2021-07-14,297,297,0
"490",2021-07-15,330,330,0
"491",2021-07-16,371,371,0
"492",2021-07-17,412,412,0
"493",2021-07-18,334,334,0
"494",2021-07-19,355,355,0
"495",2021-07-20,389,389,0
"496",2021-07-21,322,322,0
"497",2021-07-22,433,433,0
"498",2021-07-23,417,417,0
"499",2021-07-24,508,508,0
"500",2021-07-25,475,475,0
"501",2021-07-26,477,477,0
"502",2021-07-27,392,392,0
"503",2021-07-28,400,400,0
"504",2021-07-29,394,394,0
"505",2021-07-30,396,396,0
"506",2021-07-31,447,447,0
"507",2021-08-01,530,530,0
"508",2021-08-02,442,442,0
"509",2021-08-03,334,334,0
"510",2021-08-04,373,373,0
"511",2021-08-05,440,440,0
"512",2021-08-06,413,413,0
"513",2021-08-07,393,393,0
"514",2021-08-08,429,429,0
"515",2021-08-09,463,463,0
"516",2021-08-10,425,425,0
"517",2021-08-11,342,342,0
"518",2021-08-12,337,337,0
"519",2021-08-13,461,461,0
"520",2021-08-14,471,471,0
"521",2021-08-15,471,471,0
"522",2021-08-16,362,362,0
"523",2021-08-17,334,334,0
"524",2021-08-18,370,370,0
"525",2021-08-19,372,372,0
"526",2021-08-20,438,438,0
"527",2021-08-21,386,386,0
"528",2021-08-22,340,340,0
"529",2021-08-23,376,376,0
"530",2021-08-24,281,281,0
"531",2021-08-25,315,315,0
"532",2021-08-26,257,257,0
"533",2021-08-27,308,308,0
"534",2021-08-28,347,347,0
"535",2021-08-29,328,328,0
"536",2021-08-30,307,307,0
"537",2021-08-31,230,230,0
"538",2021-09-01,298,298,0
"539",2021-09-02,221,221,0
"540",2021-09-03,216,216,0
"541",2021-09-04,221,221,0
"542",2021-09-05,263,263,0
"543",2021-09-06,259,259,0
"544",2021-09-07,199,199,0
"545",2021-09-08,215,215,0
"546",2021-09-09,221,221,0
"547",2021-09-10,289,289,0
"548",2021-09-11,190,190,0
"549",2021-09-12,169,169,0
"550",2021-09-13,180,180,0
"551",2021-09-14,182,182,0
"552",2021-09-15,212,212,0
"553",2021-09-16,191,191,0
"554",2021-09-17,225,225,0
"555",2021-09-18,210,210,0
"556",2021-09-19,201,201,0
"557",2021-09-20,218,218,0
"558",2021-09-21,135,135,0
"559",2021-09-22,125,125,0
"560",2021-09-23,141,141,0
"561",2021-09-24,175,175,0
"562",2021-09-25,134,134,0
"563",2021-09-26,137,137,0
"564",2021-09-27,121,121,0
"565",2021-09-28,114,114,0
"566",2021-09-29,110,110,0
"567",2021-09-30,130,130,0
"568",2021-10-01,173,173,0
"569",2021-10-02,149,149,0
"570",2021-10-03,123,123,0
"571",2021-10-04,158,158,0
"572",2021-10-05,127,127,0
"573",2021-10-06,130,130,0
"574",2021-10-07,130,130,0
"575",2021-10-08,121,121,0
"576",2021-10-09,136,136,0
"577",2021-10-10,155,155,0
"578",2021-10-11,131,131,0
"579",2021-10-12,80,80,0
"580",2021-10-13,110,110,0
"581",2021-10-14,89,89,0
"582",2021-10-15,130,130,0
"583",2021-10-16,128,128,0
"584",2021-10-17,105,105,0
"585",2021-10-18,125,125,0
"586",2021-10-19,124,124,0
"587",2021-10-20,152,152,0
"588",2021-10-21,98,98,0
"589",2021-10-22,138,138,0
"590",2021-10-23,139,139,0
"591",2021-10-24,128,128,0
"592",2021-10-25,129,129,0
"593",2021-10-26,90,90,0
"594",2021-10-27,89,89,0
"595",2021-10-28,99,99,0
"596",2021-10-29,129,129,0
"597",2021-10-30,114,114,0
"598",2021-10-31,153,153,0
"599",2021-11-01,187,187,0
"600",2021-11-02,132,132,0
"601",2021-11-03,135,135,0
"602",2021-11-04,152,152,0
"603",2021-11-05,171,171,0
"604",2021-11-06,206,206,0
"605",2021-11-07,210,210,0
"606",2021-11-08,156,156,0
"607",2021-11-09,173,173,0
"608",2021-11-10,186,186,0
"609",2021-11-11,155,155,0
"610",2021-11-12,202,202,0
"611",2021-11-13,216,216,0
"612",2021-11-14,268,268,0
"613",2021-11-15,266,266,0
"614",2021-11-16,184,184,0
"615",2021-11-17,193,193,0
"616",2021-11-18,254,254,0
"617",2021-11-19,249,249,0
"618",2021-11-20,311,311,0
"619",2021-11-21,218,218,0
"620",2021-11-22,241,241,0
"621",2021-11-23,188,188,0
"622",2021-11-24,204,204,0
"623",2021-11-25,236,236,0
