"","fecha_sintomas","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"540",2021-06-25,223,206,90,116,4,103,62,41,0,0,0,95,8,14,9,1,29,0,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0,57,0,4,0
"541",2021-06-26,223,193,81,112,3,108,60,48,1,1,0,101,7,16,7,0,23,1,58,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,39,0,53,1,9,0
"542",2021-06-27,218,204,74,130,0,88,45,43,1,0,1,78,10,22,10,0,21,1,44,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,32,0,51,0,3,1
"543",2021-06-28,209,197,73,124,2,83,50,33,0,0,0,79,4,9,4,0,34,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,39,0,3,0
"544",2021-06-29,138,122,43,79,0,59,31,28,1,1,0,50,9,19,11,2,21,0,16,0,20,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,16,0,39,0,3,1
"545",2021-06-30,169,148,60,88,6,75,40,35,1,0,1,68,7,17,8,0,26,1,30,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,22,0,42,1,7,0
"546",2021-07-01,187,165,72,93,2,91,45,46,2,1,1,83,8,17,10,1,22,0,49,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,31,0,54,2,2,0
"547",2021-07-02,139,118,48,70,7,62,41,21,1,0,1,52,10,19,10,0,22,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,29,1,7,0
"548",2021-07-03,177,165,82,83,0,93,50,43,3,1,2,86,7,15,9,1,23,2,51,0,17,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0,31,0,49,1,7,2
"549",2021-07-04,186,167,62,105,4,75,41,34,1,1,0,70,5,11,5,0,19,1,39,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23,0,47,0,4,1
"550",2021-07-05,216,189,91,98,0,117,63,54,2,0,2,105,12,27,12,0,35,2,58,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,44,1,63,1,4,0
"551",2021-07-06,170,149,52,97,2,71,46,25,3,1,2,64,7,17,8,0,25,2,18,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,44,0,6,3
"552",2021-07-07,236,220,77,143,1,92,40,52,7,4,3,81,11,21,12,0,22,4,49,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,0,46,4,10,3
"553",2021-07-08,156,142,64,78,3,75,34,41,2,2,0,65,10,18,10,1,16,1,43,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,39,1,4,1
"554",2021-07-09,299,278,119,159,1,139,79,60,2,1,1,136,3,5,4,0,28,1,85,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,58,0,62,2,9,0
"555",2021-07-10,276,251,101,150,6,120,60,60,4,1,3,113,7,15,11,0,35,4,52,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,47,0,58,3,11,1
"556",2021-07-11,235,209,98,111,1,123,55,68,3,1,2,116,7,15,10,1,33,2,60,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,34,0,58,3,10,0
"557",2021-07-12,275,255,95,160,3,112,53,59,4,2,2,105,7,17,9,0,60,4,23,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,42,1,59,1,6,2
"558",2021-07-13,223,209,71,138,0,84,42,42,1,0,1,78,6,19,7,0,30,0,31,0,21,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,34,0,40,0,6,1
